SMILES,IC50_log
COC1=C(CNCCO)C=C(Cl)C(=N1)OC2CCC3=C2C=CC=C3C4=CC=C5OCOC5=C4,3.2188758248682006
COC1=C(CNCC2CCC(=O)N2)C=C(Cl)C(=N1)OC3CCC4=C3C=CC=C4C5=CC=C6OCCOC6=C5,2.772588722239781
COC1=C(CNCCNC(C)=O)C=C(Cl)C(=N1)OC2CCC3=C2C=CC=C3C4=CC=C5OCCOC5=C4,2.772588722239781
COC1=C(CNCCC(N)=O)C=C(Cl)C(=N1)OC2CCC3=C2C=CC=C3C4=CC=C5OCCOC5=C4,2.995732273553991
COC1=C(CNCC(O)CO)C=C(Cl)C(=N1)OC2CCC3=C2C=CC=C3C4=CC=C5OCCOC5=C4,2.5649493574615367
COC1=C(CN2CCC(O)C2)C=C(Cl)C(=N1)OC3CCC4=C3C=CC=C4C5=CC=C6OCCOC6=C5,2.8903717578961645
COC1=C(CN2CCC(O)C2)C=C(Cl)C(=N1)OC3CCC4=C3C=CC=C4C5=CC=C6OCCOC6=C5,4.23410650459726
COC1=C(CN2CC(O)C2)C=C(Cl)C(=N1)OC3CCC4=C3C=CC=C4C5=CC=C6OCCOC6=C5,2.995732273553991
COC1=C(CNCCN(C)C)C=C(Cl)C(=N1)OC2CCC3=C2C=CC=C3C4=CC=C5OCCOC5=C4,3.828641396489095
COCCNCC1=C(OC)N=C(OC2CCC3=C2C=CC=C3C4=CC=C5OCCOC5=C4)C(=C1)Cl,3.7612001156935624
COC1=C(CNCC(F)(F)F)C=C(Cl)C(=N1)OC2CCC3=C2C=CC=C3C4=CC=C5OCCOC5=C4,4.204692619390966
COC1=C(CNCC(O)CC(O)=O)C=C(Cl)C(=N1)OC2CCC3=C2C=CC=C3C4=CC=C5OCCOC5=C4,2.6390573296152584
COC1=C(CN2CCC(C2)C(O)=O)C=C(Cl)C(=N1)OC3CCC4=C3C=CC=C4C5=CC=C6OCCOC6=C5,2.772588722239781
COC1=C(CNCCO)C=C(Cl)C(=N1)OC2CCC3=C2C=CC=C3C4=CC=C(F)C=C4,3.6375861597263857
COC1=C(CNCCO)C=C(Cl)C(=N1)OC2CCC3=C2C=CC=C3C4=CC=CC(=C4)F,3.2188758248682006
COC1=C(CNCCO)C=C(Cl)C(=N1)OC2CCC3=C2C=CC=C3C4=CC=CC=C4F,0.6931471805599453
